card,errHll,errLL
1000,18446744073709552.000000,1.367000
5000,3689348814741910.500000,3689348814741910.500000
7090,0.000987,2601797471609245.500000
7091,0.000846,2601430556157037.000000
7092,0.000705,2601063744177883.500000
7093,0.000564,2600697035628020.500000
7094,0.000423,2600330430463708.500000
7095,0.000282,2599963928641233.000000
7096,0.000141,2599597530116904.000000
7097,0.000000,2599231234847055.000000
7098,2598865042788046.000000,2598865042788046.000000
7099,2598498953896260.500000,2598498953896260.000000
7100,2598132968128106.000000,2598132968128105.500000
10000,1844674407370954.250000,1844674407370954.500000
50000,368934881474190.062500,368934881474190.125000
100000,184467440737094.531250,184467440737094.562500
500000,36893488147418.109375,36893488147418.109375
1000000,18446744073708.554688,18446744073708.554688
5000000,3689348814740.911133,3689348814740.911133
10000000,1844674407369.955322,1844674407369.955566
1000,18446744073709552.000000,1.480000
5000,0.089800,3689348814741910.500000
7090,2601797471609245.000000,2601797471609245.500000
7091,2601430556157036.500000,2601430556157037.000000
7092,2601063744177883.000000,2601063744177883.500000
7093,2600697035628020.000000,2600697035628020.500000
7094,2600330430463708.500000,2600330430463708.500000
7095,2599963928641233.000000,2599963928641233.000000
7096,2599597530116903.500000,2599597530116904.000000
7097,2599231234847054.500000,2599231234847055.000000
7098,2598865042788045.500000,2598865042788046.000000
7099,2598498953896259.500000,2598498953896260.000000
7100,2598132968128105.500000,2598132968128105.500000
10000,1844674407370954.250000,1844674407370954.500000
50000,368934881474190.062500,368934881474190.125000
100000,184467440737094.531250,184467440737094.562500
500000,36893488147418.109375,36893488147418.109375
1000000,18446744073708.554688,18446744073708.554688
5000000,3689348814740.911133,3689348814740.911133
10000000,1844674407369.955322,1844674407369.955566
1000,0.070000,1.492000
5000,3689348814741910.500000,3689348814741910.500000
7090,2601797471609245.000000,2601797471609245.500000
7091,2601430556157036.500000,2601430556157037.000000
7092,2601063744177883.000000,2601063744177883.500000
7093,2600697035628020.000000,2600697035628020.500000
7094,2600330430463708.500000,2600330430463708.500000
7095,2599963928641233.000000,2599963928641233.000000
7096,2599597530116903.500000,2599597530116904.000000
7097,2599231234847054.500000,2599231234847055.000000
7098,2598865042788045.500000,2598865042788046.000000
7099,2598498953896259.500000,2598498953896260.000000
7100,2598132968128105.500000,2598132968128105.500000
10000,1844674407370954.250000,1844674407370954.500000
50000,368934881474190.062500,368934881474190.125000
100000,184467440737094.531250,184467440737094.562500
500000,36893488147418.109375,36893488147418.109375
1000000,18446744073708.554688,18446744073708.554688
5000000,3689348814740.911133,3689348814740.911133
10000000,1844674407369.955322,1844674407369.955566
1000,18446744073709552.000000,1.436000
5000,3689348814741910.500000,3689348814741910.500000
7090,2601797471609245.500000,2601797471609245.500000
7091,2601430556157037.500000,2601430556157037.000000
7092,2601063744177884.000000,2601063744177883.500000
7093,2600697035628021.000000,2600697035628020.500000
7094,2600330430463709.000000,2600330430463708.500000
7095,2599963928641233.500000,2599963928641233.000000
7096,2599597530116904.000000,2599597530116904.000000
7097,2599231234847055.500000,2599231234847055.000000
7098,2598865042788046.000000,2598865042788046.000000
7099,2598498953896260.500000,2598498953896260.000000
7100,2598132968128106.000000,2598132968128105.500000
10000,1844674407370954.250000,1844674407370954.500000
50000,368934881474190.062500,368934881474190.125000
100000,184467440737094.531250,184467440737094.562500
500000,36893488147418.109375,36893488147418.109375
1000000,18446744073708.554688,18446744073708.554688
5000000,3689348814740.911133,3689348814740.911133
10000000,1844674407369.955322,1844674407369.955566
1000,0.039000,1.497000
5000,0.135600,3689348814741910.500000
7090,0.000987,2601797471609245.500000
7091,0.000846,2601430556157037.000000
7092,0.000705,2601063744177883.500000
7093,0.000564,2600697035628020.500000
7094,0.000423,2600330430463708.500000
7095,0.000282,2599963928641233.000000
7096,0.000141,2599597530116904.000000
7097,0.000000,2599231234847055.000000
7098,2598865042788046.000000,2598865042788046.000000
7099,2598498953896260.500000,2598498953896260.000000
7100,2598132968128106.000000,2598132968128105.500000
10000,1844674407370954.250000,1844674407370954.500000
50000,368934881474190.062500,368934881474190.125000
100000,184467440737094.531250,184467440737094.562500
500000,36893488147418.109375,36893488147418.109375
1000000,18446744073708.554688,18446744073708.554688
5000000,3689348814740.911133,3689348814740.911133
10000000,1844674407369.955322,1844674407369.955566
1000,0.007000,1.429000
5000,0.021000,3689348814741910.500000
7090,2601797471609245.000000,2601797471609245.500000
7091,2601430556157036.500000,2601430556157037.000000
7092,2601063744177883.000000,2601063744177883.500000
7093,2600697035628020.000000,2600697035628020.500000
7094,2600330430463708.500000,2600330430463708.500000
7095,2599963928641233.000000,2599963928641233.000000
7096,2599597530116903.500000,2599597530116904.000000
7097,2599231234847054.500000,2599231234847055.000000
7098,2598865042788045.500000,2598865042788046.000000
7099,2598498953896259.500000,2598498953896260.000000
7100,2598132968128105.500000,2598132968128105.500000
10000,1844674407370954.250000,1844674407370954.500000
50000,368934881474190.062500,368934881474190.125000
100000,184467440737094.531250,184467440737094.562500
500000,36893488147418.109375,36893488147418.109375
1000000,18446744073708.554688,18446744073708.554688
5000000,3689348814740.911133,3689348814740.911133
10000000,1844674407369.955322,1844674407369.955566
1000,18446744073709552.000000,1.472000
5000,3689348814741910.500000,3689348814741910.500000
